DEPOSITOR,DEPOSIT_ID,DEPOSIT_STATE,DOI,DEPOSIT_CREATION_TIMESTAMP,DEPOSIT_UPDATE_TIMESTAMP,DESCRIPTION
mendeleydata,caa74367-43a9-4219-b6e5-0056dbf8946f,ARCHIVED,10.17632/983y6nncrx.1,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74916
mendeleydata,cbbc212b-b2e7-4daa-b98d-5cb6b72d1af9,ARCHIVED,10.17632/y3ybyx47sx.1,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74919
mendeleydata,cd88bd57-23dd-436d-8743-23e1df604112,ARCHIVED,10.17632/m6wjfgzcj6.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74889
mendeleydata,cda019b0-808f-4ee1-a6c9-80c4c57df431,ARCHIVED,10.17632/msg3t9g5mb.2,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74892
mendeleydata,d39d6c6c-1813-479d-8e07-6d0bb0b136b0,ARCHIVED,10.17632/4wht7k4knt.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74876
mendeleydata,d3c83ef6-2b0b-4f64-af44-8a5c0a18e9f7,ARCHIVED,10.17632/rztfg3224r.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74951
mendeleydata,d737c9d9-d6d5-4830-875a-c1211ba74cf2,ARCHIVED,10.17632/jcw8vzzzcj.1,unknown,10/24/2017 16:31:31,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74843
mendeleydata,d92fd048-0076-4622-86b6-b3136b25266c,REJECTED,,unknown,10/24/2017 16:31:13,Rejected /var/opt/dans.knaw.nl/tmp/easy-ingest-flow-inbox/d92fd048-0076-4622-86b6-b3136b25266c: Deposit is update of existing dataset
mendeleydata,db029edc-9071-40fe-99ad-9b49f8ce1cd6,ARCHIVED,10.17632/y8kgbn3nck.1,unknown,10/24/2017 16:31:12,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74901
mendeleydata,deb97cca-afc5-4c64-9c25-aae3843f57f2,ARCHIVED,10.17632/xbw6d7vbn4.1,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74894
mendeleydata,e01359b3-1c6b-418a-9934-42fb9c362896,ARCHIVED,10.17632/zmjvt32gj3.2,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74929
mendeleydata,e4036ccf-475c-4a08-a67b-f4216376f1ae,ARCHIVED,10.17632/tt6rszptmv.1,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74918
mendeleydata,e4f5af72-49c4-472f-96d9-0e7b1ab195de,ARCHIVED,10.17632/r6hcbkp53n.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74869
mendeleydata,e5e8f838-74ff-48ce-93de-c59667c354c4,ARCHIVED,10.17632/8ttd68825b.3,unknown,10/24/2017 16:31:12,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:75006
